InformationFlowName,Confidentiality,Integrity,Availability,FIPSsStandard
intermodal terminal status,Low,Moderate,Moderate,TRUE
commercial vehicle identities,Moderate,Moderate,Moderate,TRUE
commercial vehicle breach,Moderate,High,Moderate,TRUE
local signal priority request,Not Applicable,Moderate,Low,TRUE
special vehicle alert,Not Applicable,High,Moderate,TRUE
intermodal freight archive data,Moderate,Moderate,Low,TRUE
intermodal terminal status,Low,Moderate,Moderate,TRUE
container availability status,Moderate,Moderate,Moderate,TRUE
intermodal terminal status,Low,Moderate,Moderate,TRUE
freight equipment information,Moderate,Moderate,Moderate,TRUE
fleet status,Moderate,High,High,TRUE
available truck capacity,Moderate,Moderate,Moderate,TRUE
booking status,Moderate,Moderate,Moderate,TRUE
freight breach,Moderate,High,Moderate,TRUE
freight transportation status,Moderate,Moderate,Moderate,TRUE
available truck capacity,Moderate,Moderate,Moderate,TRUE
driver log,High,High,Moderate,TRUE
fleet and freight alerts,Moderate,High,Moderate,TRUE
container pickup confirmation,Moderate,Moderate,Moderate,TRUE
cv trip request,Moderate,Moderate,Low,TRUE
toll data request,Moderate,Moderate,Moderate,TRUE
commercial vehicle trip information,Moderate,Moderate,Moderate,TRUE
freight traveler information preferences,Moderate,Moderate,Moderate,TRUE
driver log carrier input,High,High,Moderate,TRUE
trip identification number,Moderate,Moderate,Low,TRUE
booking status,Moderate,Moderate,Moderate,TRUE
manifest data,Moderate,High,Moderate,TRUE
cv repair status,Moderate,Moderate,Low,TRUE
credential application,High,Moderate,Low,TRUE
audit data,Moderate,Moderate,Low,TRUE
malfunction report,Moderate,Moderate,Moderate,TRUE
unique identifiers,High,High,Moderate,TRUE
on-board safety data,High,High,Moderate,TRUE
freight transportation status,Moderate,Moderate,Moderate,TRUE
trigger mass data,Moderate,Moderate,Moderate,TRUE
load appointment status,Moderate,Moderate,Moderate,TRUE
breach response,Moderate,High,Moderate,TRUE
hazmat information,High,High,High,TRUE
commercial vehicle incident notification,Moderate,High,Moderate,TRUE
hazmat notification,High,High,High,TRUE
toll data request,Moderate,Moderate,Moderate,TRUE
commercial vehicle disable,Low,Moderate,Low,TRUE
driver log,High,High,Moderate,TRUE
on-board safety data,High,High,Moderate,TRUE
route deviation alert,High,High,Moderate,TRUE
mass declarations,Moderate,Moderate,Low,TRUE
speed data,Moderate,Moderate,Moderate,TRUE
on-board vehicle data,Moderate,Moderate,Moderate,TRUE
driver log,High,High,Moderate,TRUE
safe vehicle disable,High,High,High,TRUE
mass data,Moderate,Moderate,Low,TRUE
unique identifiers,High,High,Moderate,TRUE
combination data,Moderate,Moderate,Low,TRUE
driver log,High,High,Moderate,TRUE
commercial vehicle identities,Moderate,Moderate,Moderate,TRUE
expected driver identity characteristics,High,Moderate,Moderate,TRUE
commercial vehicle disable status,Low,Moderate,Low,TRUE
unique identifiers,High,High,Moderate,TRUE
screening event record,Moderate,High,Moderate,TRUE
driver log inspector display,High,High,Moderate,TRUE
fleet to driver update,High,Moderate,Moderate,TRUE
request for permit,Moderate,Moderate,Moderate,TRUE
hazmat information,High,High,High,TRUE
safety inspection record,Moderate,Moderate,Moderate,TRUE
trigger area,Moderate,Moderate,Low,TRUE
trigger area notification,Low,High,Moderate,TRUE
driver log,High,High,Moderate,TRUE
combination declarations,Moderate,Moderate,Moderate,TRUE
container transport assignment,High,High,Moderate,TRUE
expected driver identity characteristics,High,Moderate,Moderate,TRUE
freight transportation status,Moderate,Moderate,Moderate,TRUE
terminal reservation request,Moderate,Moderate,Moderate,TRUE
booking status,Moderate,Moderate,Moderate,TRUE
container pickup confirmation,Moderate,Moderate,Moderate,TRUE
container delivery request,Moderate,Moderate,Moderate,TRUE
freight monitoring parameters,Moderate,Moderate,Low,TRUE
road weather advisories,Low,High,Moderate,TRUE
transit vehicle location data,Moderate,Moderate,Moderate,TRUE
request for payment,Moderate,Moderate,High,TRUE
authorization request,Moderate,Moderate,Moderate,TRUE
transit vehicle operator display,Low,Moderate,Low,TRUE
authorization request,Moderate,Moderate,Moderate,TRUE
transit vehicle operator authentication information,Moderate,High,High,TRUE
freight transportation status,Moderate,Moderate,Moderate,TRUE
alarm notification,Moderate,High,Moderate,TRUE
secure area sensor data,Moderate,Moderate,Moderate,TRUE
demand response passenger and use data,Moderate,Moderate,Moderate,TRUE
fare collection data,Moderate,Moderate,Moderate,TRUE
transit vehicle emissions,Moderate,Moderate,Moderate,TRUE
transit vehicle loading data,Moderate,Moderate,Moderate,TRUE
transfer request,Moderate,Moderate,Moderate,TRUE
transit vehicle schedule performance,Low,Moderate,Low,TRUE
transit vehicle conditions,Moderate,Moderate,Moderate,TRUE
service information response,Moderate,Moderate,Low,TRUE
transit traveler information coordination,Low,Moderate,Moderate,TRUE
transit fare coordination,Low,Moderate,Moderate,TRUE
transit service coordination,Moderate,Moderate,Moderate,TRUE
multimodal archive data,Moderate,Moderate,Low,TRUE
